;;;;;;;Total Sexual Violence at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: Total ""Sexual violence” means rape and sexual assault, including Sexual Offences against Children. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Bosnia and Herzegovina;;;;;176;170;89;147;167;139;137;134;;;;;;4,6;4,4;2,3;3,8;4,4;3,6;3,6;3,5
;;Croatia;549;485;622;610;681;761;658;567;561;512;740;826;;12,5;11,1;14,2;14,0;15,6;17,5;15,2;13,1;13,0;11,9;17,3;19,4
;;Greece;899;626;633;695;555;682;924;901;535;821;860;589;;8,2;5,7;5,7;6,3;5,0;6,1;8,3;8,1;4,8;7,4;7,8;5,4
;;Italy;2.744;3.734;4.020;4.513;4.897;4.893;4.963;4.813;4.617;4.689;4.488;4.257;;4,7;6,4;6,9;7,7;8,3;8,2;8,3;8,1;7,7;7,8;7,5;7,1
;;Kosovo under UNSCR 1244;;;;;;194;170;149;154;164;208;54;;;;;;;10,7;9,4;8,2;8,4;8,9;11,2;2,9
;;Malta*;;;;;70;80;82;91;69;82;94;77;;;;;;17,4;19,7;20,0;22,1;16,7;19,7;22,6;18,4
;;Montenegro;32;42;35;43;30;35;42;36;25;24;25;31;;5,2;6,8;5,7;7,0;4,8;5,6;6,8;5,8;4,0;3,8;4,0;5,0
;;Portugal;1.966;1.701;1.619;1.729;1.810;2.251;2.556;2.206;2.182;2.134;2.238;2.475;;18,9;16,3;15,4;16,4;17,2;21,3;24,1;20,8;20,7;20,3;21,4;23,8
;;Serbia;;;532;457;419;436;455;493;432;385;313;348;;;;5,8;5,0;4,6;4,8;5,0;5,4;4,8;4,3;3,5;3,9
;;Slovenia;145;369;311;286;363;276;345;375;312;264;270;202;;7,3;18,5;15,6;14,3;18,0;13,6;16,9;18,3;15,2;12,8;13,1;9,8
;;Spain;;;;;10.348;11.558;10.684;9.958;9.892;9.008;8.923;9.468;;;;;;22,9;25,2;23,1;21,4;21,2;19,3;19,2;20,5
;;The former Yugoslav Rep. of Macedonia;;;;146;145;155;136;124;126;120;151;135;;;;;7,1;7,1;7,5;6,6;6,0;6,1;5,8;7,3;6,5
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;2.004;1.674;1.738;1.793;2.934;2.568;2.692;3.094;3.185;3.067;2.791;;;24,4;20,3;21,0;21,6;35,2;30,7;32,1;36,7;37,7;36,1;32,8
;;Belgium;5.565;;6.047;6.492;6.559;6.586;6.771;7.044;7.208;6.975;6.995;6.449;;53,4;;57,3;61,1;61,3;61,1;62,4;64,4;65,5;63,0;62,7;57,4
;;France*;25.802;26.238;23.868;22.864;23.247;24.031;23.253;22.963;23.871;26.783;27.778;30.959;;42,7;43,1;39,0;37,1;37,5;38,6;37,1;36,5;37,7;42,1;43,5;48,3
;;Germany;54.632;57.306;55.203;52.231;56.281;56.784;49.084;46.869;47.078;45.824;46.793;46.982;;67,0;70,4;67,9;64,4;69,6;70,4;61,0;58,3;58,5;56,9;58,1;58,3
;;Liechtenstein;17;7;18;12;18;11;3;6;5;12;6;8;;49,6;20,2;51,6;34,1;50,8;30,8;8,3;16,5;13,7;32,6;16,2;21,5
;;Luxembourg*;;;;205;592;353;208;211;217;278;268;286;;;;;44,0;124,7;72,8;41,9;41,5;41,7;52,2;49,2;51,4
;;Netherlands*;;;7.285;7.140;6.520;10.495;10.245;9.610;9.195;8.880;8.320;7.870;;;;44,6;43,5;39,6;63,5;61,8;57,8;55,1;53,0;49,5;46,7
;;Switzerland*;;;;;;;6.648;6.321;6.121;6.483;7.239;6.484;;;;;;;;85,9;80,7;77,2;80,8;89,2;79,0
Oceania;Australia and New Zealand;Australia*;;;;;;6.382;6.343;18.862;18.616;19.448;20.025;20.677;;;;;;;29,9;29,1;85,1;82,6;84,9;86,1;87,5
;;New Zealand;;;2.465;2.823;2.788;2.732;2.826;2.913;3.347;3.389;3.739;3.738;;;;59,6;67,4;65,8;63,8;65,3;66,7;76,0;76,4;83,7;83,2
;Melanesia;Solomon Islands;;319;204;231;139;122;;;;;;;;;69,7;43,5;48,1;28,2;24,2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
