;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Macao Special Administrative Region of China*;;;;;;2.870;2.915;2.812;3.250;2.970;3.006;2.703;;;;;;;565,8;559,1;526,0;594,5;532,5;529,2;467,7
;;Mongolia;8.782;7.861;6.683;6.657;7.927;6.609;6.376;5.777;5.276;6.266;7.884;8.424;;355,7;314,9;264,5;260,2;305,7;251,3;238,8;213,0;191,2;223,1;275,7;289,5
;;Republic of Korea;187.352;155.311;188.780;192.555;212.342;223.207;256.418;269.410;281.359;290.055;288.343;266.222;;398,3;328,2;396,5;402,0;440,5;460,1;525,4;548,8;570,1;584,7;578,5;531,7
;South-Eastern Asia;Brunei Darussalam;898;1.052;1.202;1.136;;;;;;;;;;256,9;295,8;332,1;308,6;;;;;;;;
;;Indonesia;;;;;;23.518;25.356;24.456;26.742;25.036;25.593;24.538;;;;;;;10,0;10,6;10,1;10,9;10,1;10,2;9,6
;;Malaysia;;;34.317;37.128;;;;;;;;;;;;133,0;141,4;;;;;;;;
;;Philippines*;9.801;10.739;11.167;9.985;8.281;8.273;101.442;72.743;55.767;43.606;124.170;;;11,8;12,7;13,0;11,4;9,3;9,2;110,7;78,2;59,0;45,4;127,3;
;;Singapore;15.086;16.724;21.168;19.073;18.068;18.360;18.998;18.274;17.251;17.462;16.124;15.868;;354,6;382,2;470,9;413,3;381,8;378,6;382,6;359,8;332,3;329,5;298,3;288,2
;;Thailand;;;60.881;63.649;62.000;57.452;50.412;54.330;45.030;45.183;43.654;39.898;;;;92,4;96,2;93,4;86,5;75,8;81,5;67,3;67,3;64,7;58,9
;;Myanmar;;;;;;;1.898;1.723;1.802;2.316;2.538;;;;;;;;;3,7;3,3;3,5;4,4;4,8;
;Southern Asia;Bangladesh;;;12.540;12.989;;;;;;;;;;;;8,8;9,0;;;;;;;;
;;Bhutan;;;;;;;348;489;494;494;577;532;;;;;;;;49,2;67,9;67,5;66,4;76,5;69,5
;;India;;273.045;273.111;274.354;285.043;316.761;324.195;330.312;340.800;337.407;372.622;;;;24,2;23,9;23,6;24,2;26,5;26,7;26,8;27,3;26,7;29,1;
;;Iran (Islamic Republic of);104.746;109.839;;;;;;;;;;;;152,9;158,4;;;;;;;;;;
;;Maldives;;;;;;3.926;4.008;4.001;4.734;6.571;6.683;;;;;;;;1.223,0;1.226,8;1.203,0;1.398,0;1.905,6;1.903,4;
;;Nepal;;;513;540;;;;;;;;;;;;2,0;2,1;;;;;;;;
;;Sri Lanka;23.398;26.307;;;;13.211;11.745;12.681;11.835;11.704;11.449;;;121,8;135,8;;;;66,2;58,5;62,8;58,3;57,3;55,8;
;Western Asia;Armenia;2.831;2.791;2.463;3.090;2.712;3.216;3.961;3.664;4.207;4.019;4.659;;;93,2;92,2;81,7;102,9;90,8;108,1;133,5;123,6;141,7;134,9;155,7;
;;Azerbaijan;1.820;1.776;2.151;2.139;1.903;3.347;3.640;3.868;5.019;4.236;5.144;5.861;;21,7;21,0;25,1;24,7;21,7;37,7;40,5;42,5;54,4;45,2;54,2;60,9
;;Bahrain;;;9.659;8.360;7.256;7.598;;;;;;;;;;1.114,1;888,6;706,8;681,0;;;;;;
;;Cyprus;1.504;1.131;1.201;1.607;1.667;1.405;1.285;1.670;1.687;1.550;1.245;966;;150,7;111,3;116,3;153,3;156,8;130,5;117,8;151,3;151,1;137,3;109,1;83,7
;;Georgia;;10.634;16.256;27.657;18.586;14.814;11.473;11.371;;;;9.558;;;235,0;363,2;624,4;423,8;341,1;266,9;267,5;;;;236,9
;;Israel;;135.349;125.290;114.980;101.189;89.985;;72.341;70.809;;;;;;2.091,9;1.897,3;1.702,2;1.462,1;1.268,5;;974,9;936,2;;;
;;Jordan;;;7.068;8.945;10.191;10.290;10.662;12.200;13.994;13.509;;;;;;132,5;161,7;176,9;171,2;170,1;187,2;207,0;193,1;;
;;Kuwait;;7.230;9.790;9.361;9.792;9.399;8.129;;;;;;;;333,7;432,5;391,8;385,7;347,4;282,1;;;;;
;;Lebanon;;;;;;25.163;27.578;28.715;32.775;34.426;32.550;28.411;;;;;;;612,3;659,5;662,1;713,8;699,1;615,7;506,2
;;Oman;;;;;6.028;5.515;;;;;;;;;;;;232,4;207,9;;;;;;
;;Qatar;754;734;897;1.043;;;;;;;;;;112,8;100,3;107,2;105,5;;;;;;;;
;;State of Palestine*;3.597;4.660;4.378;;;2.770;2.847;2.743;2.297;1.946;;;;104,5;132,9;122,3;;;71,9;71,9;67,4;54,9;45,3;;
;;Syrian Arab Republic;12.349;11.544;;;4.766;6.509;;;;;;;;71,4;65,3;;;24,5;32,4;;;;;;
;;Turkey;66.405;67.406;103.753;171.772;149.763;117.013;144.374;179.586;182.401;208.913;;;;100,5;100,6;152,9;250,0;215,4;166,3;202,6;248,4;248,1;279,1;;
;;United Arab Emirates*;10.802;11.037;;;;;;;;14.984;2.385;2.097;;297,9;277,6;;;;;;;;167,4;26,4;23,1
;;Iraq (Central Iraq);;;;;;6.206;6.494;8.169;9.917;10.858;10.655;10.456;;;;;;;;;;;;;
Europe;Eastern Europe;Belarus*;74.632;81.438;103.196;104.161;103.082;87.387;82.340;73.590;73.598;56.378;46.356;40.528;;764,8;839,9;1.070,4;1.085,7;1.078,7;917,3;866,3;775,3;775,7;594,0;488,1;426,6
;;Bulgaria;47.148;47.010;43.119;44.201;42.100;37.933;39.808;50.479;47.323;44.462;45.256;41.246;;604,1;607,1;561,3;579,7;556,3;504,9;533,6;681,5;643,4;608,8;624,0;572,8
;;Czech Republic;141.323;162.139;154.124;151.136;154.207;147.292;138.369;126.311;124.274;119.367;125.573;103.708;;1.383,9;1.587,7;1.506,5;1.471,4;1.492,7;1.416,5;1.322,8;1.202,2;1.179,7;1.132,0;1.190,8;983,7
;;Hungary;124.782;129.466;126.253;122.677;124.522;119.143;117.232;134.196;129.749;130.299;124.276;106.939;;1.230,4;1.279,7;1.250,5;1.217,2;1.237,3;1.185,4;1.168,2;1.340,0;1.298,9;1.308,4;1.252,2;1.081,3
;;Poland;281.852;287.936;278.852;250.180;219.820;196.745;190.923;203.916;230.247;230.751;200.062;167.390;;733,0;748,8;725,0;650,2;571,0;510,7;495,2;528,6;596,6;597,7;518,0;433,4
