;;;;;;;Kidnapping at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Kidnapping” means unlawfully detaining a person or persons against their will (including through the use of force, threat, fraud or enticement) for the purpose of demanding for their liberation an illicit gain or any other economic gain or other material benefit, or in order to oblige someone to do or not to do something. “Kidnapping” excludes disputes over child custody. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Slovakia;;;16;12;4;3;6;4;4;7;4;10;;;;0,3;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2
;;Ukraine;205;172;178;233;256;279;338;292;;;;;;0,4;0,4;0,4;0,5;0,6;0,6;0,7;0,6;;;;
;Northern Europe;Estonia*;2;1;2;1;2;2;0;0;3;0;1;0;;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,2;0,0;0,1;0,0
;;Finland;1;2;2;1;1;0;3;1;3;1;1;1;;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,0;0,0;0,0
;;Ireland;53;74;74;81;106;77;146;134;109;101;124;125;;1,3;1,8;1,8;1,9;2,4;1,7;3,2;2,9;2,3;2,2;2,7;2,7
;;Latvia;26;41;6;8;9;3;9;8;7;1;18;17;;1,1;1,8;0,3;0,4;0,4;0,1;0,4;0,4;0,3;0,0;0,9;0,9
;;Lithuania;37;62;70;60;66;61;59;69;48;65;46;44;;1,1;1,8;2,1;1,8;2,0;1,9;1,9;2,2;1,6;2,2;1,6;1,5
;;United Kingdom (England and Wales);3.125;2.814;2.799;2.367;1.991;2.035;1.860;1.717;1.516;1.388;1.728;2.198;;5,9;5,3;5,2;4,4;3,7;3,7;3,4;3,1;2,7;2,5;3,0;3,8
;;United Kingdom (Northern Ireland);71;80;46;53;67;83;82;56;66;45;59;44;;4,2;4,7;2,7;3,0;3,8;4,7;4,6;3,1;3,6;2,5;3,2;2,4
;;United Kingdom (Scotland);;353;347;343;284;319;269;260;219;227;254;234;;;6,9;6,8;6,7;5,5;6,1;5,1;4,9;4,1;4,3;4,8;4,4
