Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Belgium,2010,Female,Not applicable,Number,60438
Belgium,2010,All genders,Not applicable,Number,102693
Belgium,2009,All genders,Not applicable,Number,99102
Belgium,2009,Female,Not applicable,Number,58164
Belgium,2008,Female,Not applicable,Number,57055
Belgium,2008,All genders,Not applicable,Number,97248
Belgium,2006,All genders,Not applicable,Number,81546
Belgium,2006,Female,Not applicable,Number,47932
Belgium,2002,Female,Not applicable,Number,41362
Belgium,2002,All genders,Not applicable,Number,72939
Belgium,2001,All genders,Not applicable,Number,70202
Belgium,2001,Female,Not applicable,Number,39391
Belgium,2000,Female,Not applicable,Number,38121
Belgium,2000,All genders,Not applicable,Number,68225
Belize,2012,All genders,Not applicable,Number,1785
Belize,2012,Female,Not applicable,Number,1116
Belize,2011,Female,Not applicable,Number,935
Belize,2011,All genders,Not applicable,Number,1517
Benin,2011,All genders,Not applicable,Number,16713
Benin,2011,Female,Not applicable,Number,4957
Benin,2010,Female,Not applicable,Number,6125
Benin,2010,All genders,Not applicable,Number,18177
Benin,2009,Female,Not applicable,Number,4569
Benin,2009,All genders,Not applicable,Number,14638
Benin,1999,All genders,Not applicable,Number,1000
Benin,1999,Female,Not applicable,Number,244
Bermuda,2014,Female,Not applicable,Number,74
Bermuda,2014,All genders,Not applicable,Number,94
Bermuda,2012,Female,Not applicable,Number,72
Bermuda,2012,All genders,Not applicable,Number,113
Bermuda,2011,All genders,Not applicable,Number,96
Bermuda,2011,Female,Not applicable,Number,69
Bermuda,2010,Female,Not applicable,Number,69
Bermuda,2010,All genders,Not applicable,Number,95
Bermuda,2009,All genders,Not applicable,Number,139
Bermuda,2009,Female,Not applicable,Number,99
Bermuda,2007,Female,Not applicable,Number,105
Bermuda,2007,All genders,Not applicable,Number,167
Bermuda,2005,All genders,Not applicable,Number,98
Bermuda,2005,Female,Not applicable,Number,78
Bermuda,2001,Female,Not applicable,Number,76
Bermuda,2001,All genders,Not applicable,Number,99
Bhutan,2013,Female,Not applicable,Number,557
Bhutan,2013,All genders,Not applicable,Number,1629
