;;;;;;;Burglary breaking and entering at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Burglary” means gaining unauthorised access to a part of a building/dwelling or other premises, including by use of force, with the intent to steal goods (breaking and entering). “Burglary” should include, where possible, theft from a house, appartment or other dwelling place, factory, shop or office, from a military establishment, or by using false keys. It should exclude theft from a car, from a container, from a vending machine, from a parking meter and from fenced meadow/compound.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;United Kingdom (Northern Ireland);17.109;14.147;12.862;11.451;11.634;12.040;12.699;11.852;11.242;9.521;9.125;8.889;;1.003,5;825,4;744,4;656,9;660,4;676,7;708,1;656,7;619,6;522,1;498,7;483,0
;;United Kingdom (Scotland);36.746;34.959;31.319;30.580;25.443;25.496;23.774;25.017;24.222;21.515;22.272;20.607;;725,0;687,6;612,9;595,7;492,1;490,0;454,4;475,4;457,0;404,9;418,0;385,4
;Southern Europe;Albania;;;199;164;123;144;169;231;265;322;365;295;;;;6,5;5,4;4,1;4,9;5,8;8,0;9,2;11,2;12,7;10,2
;;Andorra;;;;;117;140;148;133;103;90;90;89;;;;;;137,8;163,5;173,2;157,5;125,1;113,5;118,6;122,3
;;Bosnia and Herzegovina*;;;5.006;4.020;3.720;3.846;12.617;;14.619;13.080;11.907;10.324;;;;130,6;104,7;96,9;100,2;328,8;;381,5;341,7;311,4;270,4
;;Croatia;23.483;25.922;21.114;20.321;19.248;17.471;17.080;18.452;19.237;19.219;18.483;15.302;;534,9;591,1;482,3;465,2;441,8;402,2;394,4;427,5;447,2;448,3;432,7;359,6
;;Greece;31.181;26.489;37.595;42.069;49.886;59.027;63.928;80.854;87.142;79.557;67.645;61.366;;282,7;239,8;339,6;379,1;448,2;528,8;571,8;723,4;781,3;716,1;611,9;557,8
;;Italy;173.097;110.887;;;;;;;;;;;;298,4;190,0;;;;;;;;;;
;;Kosovo under UNSCR 1244;;;;;;6.155;5.893;7.019;7.604;6.989;7.655;7.336;;;;;;;341,0;324,7;384,4;413,9;378,2;411,8;392,1
;;Malta;682;782;1.618;1.299;1.179;1.450;1.352;1.660;1.684;1.682;1.438;1.624;;173,6;198,1;407,5;324,8;292,5;356,8;330,2;402,9;406,7;404,7;345,1;388,8
