;;;;;;;Total Sexual Offences against Children at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Sexual offences against children"" means crimes of a sexual nature committed against children (according to the age defined in the ""Metadata"" section below). These crimes should include child pornography offences, procuring a child for prostitution, statutory rape of a person below the age of consent and other offences related to the sexual exploitation of children.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 children aged 17 or under;;;;;;;;;;;
;;Iceland;69;21;57;55;79;102;;;;;211;;;88,3;26,8;72,5;69,5;99,0;127,0;;;;;262,7;
;;Latvia*;225;558;601;194;375;326;193;152;133;233;123;215;;47,9;124,0;139,6;46,7;93,6;84,1;51,2;41,3;37,1;66,8;36,0;63,7
;;Lithuania;171;222;304;333;267;262;271;401;398;358;273;297;;22,2;29,8;42,3;48,2;40,2;40,9;44,0;67,5;69,7;65,1;51,3;57,4
;;Norway;1.096;1.013;950;1.107;1.087;1.150;1.189;1.276;1.316;1.257;1.141;1.298;;101,7;93,6;87,3;101,4;99,1;104,2;107,1;114,5;117,4;111,9;101,5;115,3
;;Sweden*;;;3.346;3.671;3.771;6.202;6.920;7.295;7.667;7.803;8.109;11.312;;;;173,2;188,7;193,7;319,5;357,7;378,3;399,0;406,5;420,5;580,9
;;United Kingdom (England and Wales);;16.078;17.553;16.637;15.532;15.252;17.402;17.876;17.365;19.141;24.278;33.183;;;136,7;149,3;141,6;131,7;128,8;146,6;150,1;145,9;158,8;199,2;271,5
;;United Kingdom (Northern Ireland);987;972;869;883;883;1.047;988;1.044;1.017;1.016;1.256;1.454;;224,2;223,4;201,3;205,6;205,8;243,5;229,7;242,7;236,0;235,4;290,7;335,7
;Southern Europe;Albania;;;29;33;49;35;47;38;18;18;28;29;;;;2,9;3,4;5,3;4,0;5,7;4,8;2,4;2,4;3,9;4,1
;;Andorra;;;;;6;9;5;7;13;18;23;16;;;;;;37,3;55,6;31,2;43,3;81,7;115,3;148,6;103,1
;;Bosnia and Herzegovina;;;;;32;23;24;89;48;41;31;36;;;;;;4,4;3,2;3,4;12,8;6,9;6,0;4,6;5,5
;;Croatia;231;246;285;262;334;387;335;279;274;201;372;521;;25,9;28,3;33,4;31,4;40,6;47,4;41,2;34,5;33,8;25,0;46,8;66,4
;;Greece;;33;57;45;59;89;64;70;51;55;46;77;;;1,6;2,9;2,3;3,0;4,5;3,2;3,5;2,6;2,8;2,4;4,0
;;Italy;;;1.152;1.310;1.372;1.312;1.214;1.143;1.315;1.176;1.073;1.031;;;;11,5;13,0;13,6;13,0;12,0;11,4;13,1;11,7;10,8;10,4
;;Kosovo under UNSCR 1244;;;;;;61;42;44;52;44;62;56;;;;;;;10,0;7,0;7,4;8,7;7,4;10,5;9,5
;;Malta*;;;;;25;29;27;37;28;24;30;33;;;;;;29,2;34,1;32,0;44,2;34,0;29,7;37,9;42,7
;;Montenegro;;;;28;16;5;6;7;9;7;6;2;;;;;18,6;10,6;3,3;4,0;4,7;6,1;4,8;4,1;1,4
;;Portugal;716;650;530;609;646;593;668;778;784;779;859;1.013;;36,0;32,9;27,0;31,0;32,9;30,3;34,4;40,5;41,3;41,7;46,7;55,9
;;Serbia;;;277;247;223;245;282;309;232;225;164;128;;;;13,0;11,9;11,0;12,4;14,5;16,2;12,4;12,1;9,0;7,1
;;Slovenia;196;218;188;173;203;159;199;244;218;161;168;110;;53,4;60,8;53,4;49,8;58,9;46,2;57,7;70,6;62,5;45,8;47,4;30,8
;;Spain;;;;;1.499;2.210;1.581;1.299;998;847;828;1.127;;;;;;19,1;27,7;19,6;16,0;12,2;10,4;10,2;13,9
;;The former Yugoslav Rep. of Macedonia;;;;71;61;79;63;77;52;53;50;56;;;;;14,2;12,4;16,4;13,3;16,6;11,4;11,8;11,3;12,8
;Western Europe;Austria;;728;588;555;609;1.811;1.398;1.379;1.607;1.794;1.724;1.952;;;45,0;36,6;34,7;38,3;115,3;90,1;89,9;105,7;119,0;115,1;131,1
;;Belgium;3.354;6.261;3.641;3.963;4.003;3.956;3.883;4.036;4.115;3.866;3.977;3.584;;154,7;288,4;167,5;181,2;182,0;179,2;175,2;181,6;184,1;172,3;176,5;158,3
;;France*;16.401;14.713;13.598;13.598;13.661;14.281;13.526;13.508;13.470;15.894;16.581;18.093;;120,6;108,0;99,6;99,4;99,5;103,7;97,9;97,3;96,7;113,5;117,7;127,9
;;Germany*;16.372;16.218;13.962;12.765;12.772;12.052;18.324;17.720;18.734;18.341;19.060;18.664;;109,7;110,4;96,7;90,2;91,9;88,1;135,8;132,9;141,8;140,0;146,7;144,9
;;Liechtenstein;;;;;5;6;2;5;9;12;34;16;;;;;;69,1;83,5;28,0;69,9;125,8;167,6;474,3;223,2
;;Luxembourg;;;;61;80;91;30;26;23;;105;;;;;;59,6;77,3;86,8;28,2;24,1;21,0;;93,7;
;;Netherlands;;;1.440;1.505;1.420;1.210;1.220;1.005;845;1.045;975;950;;;;40,3;42,1;39,8;34,2;34,7;28,8;24,4;30,3;28,4;27,9
;;Switzerland*;;;;;;;1.526;1.133;1.403;1.203;1.330;1.300;;;;;;;;105,0;78,1;96,4;82,4;90,8;88,4
Oceania;Australia and New Zealand;New Zealand;;;1.221;1.507;1.515;1.426;1.439;1.512;1.906;1.883;2.083;;;;;113,4;139,3;139,4;130,9;132,0;139,0;174,3;171,9;190,2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
