;;;;;;;Robbery at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Robbery”  means the theft of property from a person, overcoming resistance by force or threat of force. Where possible, the category “Robbery” should include muggings (bag-snatching) and theft with violence, but should exclude pick pocketing and extortion.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Greece;2.320;2.339;2.084;2.463;2.823;3.293;4.715;6.079;6.636;5.992;4.919;3.800;;21,0;21,2;18,8;22,2;25,4;29,5;42,2;54,4;59,5;53,9;44,5;34,5
;;Italy;41.747;46.265;65.724;71.162;74.130;64.535;50.732;47.996;58.206;62.641;63.770;58.345;;72,0;79,3;112,0;120,8;125,3;108,8;85,3;80,5;97,5;104,9;106,7;97,6
;;Kosovo under UNSCR 1244;;;;;;421;586;566;629;527;552;429;;;;;;;23,3;32,3;31,0;34,2;28,5;29,7;22,9
;;Malta*;195;265;256;222;200;147;202;196;219;257;207;190;;49,6;67,1;64,5;55,5;49,6;36,2;49,3;47,6;52,9;61,8;49,7;45,5
;;Montenegro*;51;71;86;80;10;6;7;3;4;7;7;8;;8,3;11,5;14,0;13,0;1,6;1,0;1,1;0,5;0,6;1,1;1,1;1,3
;;Portugal;19.767;21.051;20.218;20.914;18.483;20.854;20.472;20.442;20.372;18.514;16.590;15.594;;190,0;201,6;192,9;198,9;175,2;197,2;193,3;193,1;192,9;176,1;158,6;149,9
;;Serbia;;;2.985;3.793;3.761;4.082;4.593;3.620;3.548;3.791;3.836;3.232;;;;32,5;41,4;41,2;44,8;50,5;40,0;39,3;42,2;42,9;36,3
;;Slovenia;349;398;429;525;450;386;481;463;403;391;377;297;;17,6;20,0;21,5;26,2;22,3;19,0;23,5;22,6;19,6;19,0;18,3;14,4
;;Spain;;;;;;71.421;65.159;84.411;87.718;96.607;86.034;70.855;;;;;;;155,9;140,7;181,1;187,8;207,1;185,2;153,2
;;The former Yugoslav Rep. of Macedonia;;;709;466;529;458;597;604;513;469;468;305;;;;34,7;22,8;25,8;22,3;29,0;29,3;24,8;22,7;22,6;14,7
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;4.798;4.770;5.095;5.030;4.786;4.577;4.310;4.066;4.092;3.737;3.481;;;58,5;57,9;61,6;60,6;57,4;54,7;51,4;48,3;48,4;44,0;40,9
;;Belgium*;217.346;197.985;191.585;205.382;201.911;199.159;189.237;185.295;195.755;192.234;180.249;171.686;;2.084,6;1.886,9;1.814,0;1.931,7;1.886,2;1.847,6;1.743,4;1.695,3;1.778,8;1.735,0;1.616,1;1.529,3
;;France*;125.286;119.641;124.600;127.190;112.885;106.633;112.765;121.038;120.966;123.814;124.657;114.093;;207,2;196,6;203,5;206,4;182,2;171,1;180,0;192,2;191,2;194,8;195,3;177,9
;;Germany;59.782;59.732;54.841;53.696;52.949;49.913;49.317;48.166;48.021;48.711;47.234;45.475;;73,3;73,4;67,5;66,2;65,5;61,9;61,2;59,9;59,7;60,5;58,6;56,4
;;Liechtenstein;4;2;1;4;5;1;2;2;1;5;1;1;;11,7;5,8;2,9;11,4;14,1;2,8;5,6;5,5;2,7;13,6;2,7;2,7
;;Luxembourg;;;;313;396;326;418;377;398;527;582;615;;;;;67,2;83,4;67,2;84,2;74,2;76,5;99,0;106,8;110,5
;;Monaco;2;;7;4;;;;;;;;;;6,1;;20,7;11,6;;;;;;;;
;;Netherlands*;20.700;18.300;16.445;14.485;13.660;13.175;16.265;16.125;15.390;14.770;13.115;10.330;;128,0;112,6;100,7;88,3;83,0;79,8;98,1;97,0;92,2;88,2;78,0;61,2
;;Switzerland*;4.344;2.933;3.977;4.088;4.481;4.220;5.027;4.406;5.236;6.076;5.424;4.007;;59,6;39,9;53,7;54,7;59,3;55,2;65,0;56,3;66,1;75,7;66,8;48,8
Oceania;Australia and New Zealand;Australia*;;;;;;3.695;3.841;14.634;13.650;13.161;11.711;9.886;;;;;;;17,3;17,6;66,0;60,6;57,4;50,3;41,9
;;New Zealand;;;2.322;2.916;2.752;2.657;2.665;2.492;2.340;2.086;2.032;2.016;;;;56,2;69,6;64,9;62,0;61,6;57,0;53,1;47,0;45,5;44,8
;Melanesia;Solomon Islands;;121;24;29;64;52;;;;;;;;;26,4;5,1;6,0;13,0;10,3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
